Date,Open,High,Low,Close,Volume
2017-01-20 00:00:00-05:00,27.856899084972973,27.856899084972973,27.69038360698978,27.752826690673828,130391600
2017-01-23 00:00:00-05:00,27.752829477316595,27.94016051165572,27.69963577778169,27.771331787109375,88200800
2017-01-24 00:00:00-05:00,27.648757091283134,27.77595650112051,27.637192706535473,27.745891571044922,92844000
2017-01-25 00:00:00-05:00,27.84996286992256,28.238502538017904,27.817584711287722,28.1876220703125,129510400
2017-01-26 00:00:00-05:00,28.139053183281934,28.317134809814437,28.12286410491327,28.20149803161621,105350400
2017-01-27 00:00:00-05:00,28.247754189203675,28.296321428009836,28.122866247497544,28.203811645507812,82251600
2017-01-30 00:00:00-05:00,27.967915709031725,28.129806518554688,27.905472615209295,28.129806518554688,121510000
2017-01-31 00:00:00-05:00,28.01879611236668,28.074301280568644,27.896221390535164,28.06505012512207,196804000
2017-02-01 00:00:00-05:00,29.378681269570627,30.17888937327916,29.374056574547758,29.776472091674805,447940000
2017-02-02 00:00:00-05:00,29.59839985152352,29.924494751278772,29.552144066981022,29.72559928894043,134841600
2017-02-03 00:00:00-05:00,29.674707311511316,29.878229155693695,29.640017692141207,29.8527889251709,98029200
2017-02-06 00:00:00-05:00,29.864360428589794,30.181204124229904,29.81116496093321,30.13263511657715,107383600
2017-02-07 00:00:00-05:00,30.19046186439056,30.548936741290635,30.1696480820498,30.419424057006836,152735200
2017-02-08 00:00:00-05:00,30.37778724073205,30.57899413332686,30.3477205449816,30.537363052368164,92016400
2017-02-09 00:00:00-05:00,30.57916859352278,30.76499031269635,30.456062457724368,30.75802230834961,113399600
2017-02-10 00:00:00-05:00,30.767319682253024,30.87881131177718,30.672085550412284,30.688343048095703,80262000
2017-02-13 00:00:00-05:00,30.91133366736676,31.083219423304136,30.83468205502666,30.96010971069336,92141600
2017-02-14 00:00:00-05:00,31.00192091348588,31.378207420146147,30.950819839216535,31.361949920654297,132904800
2017-02-15 00:00:00-05:00,31.47808835248128,31.65229559510279,31.26903753478221,31.47576332092285,142492400
2017-02-16 00:00:00-05:00,31.51292520582377,31.56634776244953,31.32013545145116,31.4385986328125,90338400
2017-02-17 00:00:00-05:00,31.380514585546003,31.550075211308474,31.380514585546003,31.524524688720703,88792800
2017-02-21 00:00:00-05:00,31.64299091059978,31.763775546751894,31.58492185109932,31.752161026000977,98028800
2017-02-22 00:00:00-05:00,31.68945285088696,31.849724059622588,31.61512628037845,31.847402572631836,83347600
2017-02-23 00:00:00-05:00,31.910115156813283,31.93334065729695,31.65925635950925,31.712678909301758,83152800
2017-02-24 00:00:00-05:00,31.568666952685003,31.742874145507812,31.422331776552433,31.742874145507812,87106400
2017-02-27 00:00:00-05:00,31.85436161362697,31.92404519054411,31.65460391673328,31.80558204650879,81029600
